symbol,exchange,industry
AAPL,NASDAQ,消費電子
MSFT,NASDAQ,企業軟體與雲端
NVDA,NASDAQ,半導體
AVGO,NASDAQ,半導體與基礎軟體
AMD,NASDAQ,半導體
INTC,NASDAQ,半導體
QCOM,NASDAQ,無線通訊晶片
MU,NASDAQ,記憶體
TXN,NASDAQ,類比晶片
AMAT,NASDAQ,半導體設備
LRCX,NASDAQ,半導體設備
KLAC,NASDAQ,半導體設備
ASML,NASDAQ,半導體設備
TSM,NYSE,晶圓代工
ARM,NASDAQ,晶片設計
MRVL,NASDAQ,半導體
ON,NASDAQ,功率半導體
MCHP,NASDAQ,微控制器
ADI,NASDAQ,類比晶片
NXPI,NASDAQ,車用半導體
MPWR,NASDAQ,電源管理晶片
TER,NASDAQ,半導體測試設備
SWKS,NASDAQ,無線通訊晶片
QRVO,NASDAQ,射頻晶片
SMCI,NASDAQ,伺服器硬體
DELL,NYSE,電腦與伺服器
HPE,NYSE,企業硬體
HPQ,NYSE,個人電腦
WDC,NASDAQ,資料儲存
STX,NASDAQ,資料儲存
GOOGL,NASDAQ,網路廣告與雲端
META,NASDAQ,社群媒體
NFLX,NASDAQ,串流媒體
ORCL,NYSE,企業軟體與雲端
CRM,NYSE,企業軟體
ADBE,NASDAQ,創意軟體
NOW,NYSE,企業軟體
INTU,NASDAQ,財務軟體
PANW,NASDAQ,資安
CRWD,NASDAQ,資安
FTNT,NASDAQ,資安
ZS,NASDAQ,資安
DDOG,NASDAQ,雲端監控軟體
SNOW,NYSE,雲端資料平台
MDB,NASDAQ,資料庫軟體
PLTR,NASDAQ,資料分析軟體
NET,NYSE,雲端網路與資安
UBER,NYSE,叫車與物流平台
DASH,NASDAQ,外送平台
ABNB,NASDAQ,旅宿平台
JPM,NYSE,大型銀行
BAC,NYSE,大型銀行
WFC,NYSE,大型銀行
C,NYSE,大型銀行
GS,NYSE,投資銀行
MS,NYSE,投資銀行
SCHW,NYSE,券商與財富管理
BK,NYSE,保管銀行
PNC,NYSE,區域銀行
TFC,NYSE,區域銀行
USB,NYSE,區域銀行
AXP,NYSE,信用卡與消費金融
COF,NYSE,消費金融
DFS,NYSE,消費金融
